n,p,K,allinformative,balanced,constrained,fit_constrained,timemean,timesd,arimean,arisd,avglogpropmean,avglogpropstd,avgmeanmean,avgmeanstd,avgcovmean,avgcovstd
128,2,4,False,True,False,True,0.016509127616882325,0.004798845282136175,0.2936508489670818,0.16862597605861934,0.3576801097934322,0.14529738124996505,nan,nan,1.7203900083603678,0.5303941783318646
128,2,4,False,True,False,False,0.046210408210754395,0.027362878270580416,0.432313377673793,0.17207806157164401,0.2933366590469084,0.16825946349042636,nan,nan,nan,nan
128,2,4,False,False,True,True,0.013787436485290527,0.0035792821622946626,0.2459881336768875,0.2542958744440812,0.7810038311267501,0.12265492716339371,nan,nan,2.576857682467386,1.240439494078815
128,2,4,False,False,True,False,0.02471294403076172,0.008272078208944716,0.23996225976810423,0.2573109580263024,0.8003370129950778,0.10250266643953745,nan,nan,nan,nan
128,2,4,False,False,False,True,0.013514375686645508,0.0017791169607877335,0.11685687907474995,0.10519104682765172,0.740102807317619,0.09254823338849741,nan,nan,1.8032899546519932,0.3764943768004106
128,2,4,False,False,False,False,0.03037295341491699,0.01357856042815519,0.2698772486549509,0.23340962256818987,0.7854435304875172,0.11057965484035145,nan,nan,nan,nan
512,2,2,True,True,True,True,0.012748265266418457,0.005182475816411993,0.8057077636280205,0.3438917579578084,0.014069769180884395,0.03123391229355793,2.149520255390166,0.6495189029481656,3.1186988273797276,1.930962013574964
512,2,2,True,True,True,False,0.01528632640838623,0.006664687591581032,0.7999544092330615,0.3443845464858722,0.014950531575171283,0.029422484831333064,2.149158341209887,0.649657099585565,nan,nan
512,2,2,True,True,False,True,0.012945103645324706,0.0030483339837172785,0.3707236956523901,0.4048369624251679,0.33965491530387926,0.27258520432161837,nan,nan,2.2267894893688682,1.3065040874561942
512,2,2,True,True,False,False,0.019965481758117676,0.005171973305237653,0.8396368125446795,0.2669057173115695,0.051172725371684005,0.13932096494368018,2.2252759403708087,0.753605242867593,nan,nan
